orgao,link
UFMT - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=871
UFMS - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=872
UFMG - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=873
UNIR - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=874
UFRR - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=875
UFSM - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=876
SERPRO - Serviço Federal de P...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=790
UFSJ - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=877
UFOP - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=793
UFV - Universidade Federal de ...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=878
UFPEL - Universidade Federal d...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=794
UFAC - Universidade Federal do...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=879
UFPE - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=795
UFES - Universidade Federal do...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=881
UFRGS - Universidade Federal d...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=796
UNIRIO - Universidade Federal ...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=882
UFSC - Universidade Federal de...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=797
UFMA - Universidade Federal do...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=883
UFSCAR - Universidade Federal ...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=798
UFPI Universidade Federal do P...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=884
UNIFESP - Universidade Federal...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=799
UFRJ - Universidade Federal do...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=885
UFS - Universidade Federal de ...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=800
FURG - Universidade Federal do...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=886
UFU - Universidade Federal de ...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=801
UFRA - Universidade Federal Ru...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=887
UFPA - Universidade Federal do...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=802
UFRPE - Universidade Federal R...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=888
UFPR - Universidade Federal do...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=803
TRF (RJ/ES) - Tribunal Regiona...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=978
UFRN - Universidade Federal do...,https://cidadao.reclameaqui.com.br/indices/lista_reclamacoes/?tp=9403f4c8cd5af61c485541e9444950c069c79ffa&subtp=c92a9bc341d739044ff5400661d44a60a808be22&id=804
